force released 8/8 blocks
spacemit-tcm-smi 3.0.0
backend=v2 runtime=available fake=no block_size=393216 block_num=8 available_blocks=8/8
ID   STATE  SIZE       PHYS               CPU_MASK           PID         
0    free   393216     -                  0x300              -           
1    free   393216     0x60000            0x300              -           
2    free   393216     0xc0000            0xc00              -           
3    free   393216     0x120000           0xc00              -           
4    free   393216     0x2000000          0x3000             -           
5    free   393216     0x2060000          0x3000             -           
6    free   393216     0x20c0000          0xc000             -           
7    free   393216     0x2120000          0xc000             -           
